training_episode,benchmark_episode_id,method,actor_critic_loss,policy_loss,value_loss,entropy,candidate_reward_mean,selected_reward_mean,task_completion_proxy,remaining_task_ratio,device
7200,S71,paper1_deep_hgrl_ugv_assisted,0.00471752043813467,0.0006000075697834006,0.009413652864168398,0.011863120341799368,1.288882851600647,1.5120275169610977,1.0,0.0,cuda
7300,S23,paper1_deep_hgrl_ugv_assisted,0.009932927787303925,0.007478474416075187,0.007362324839050416,0.08585930786774566,1.3599309027194977,1.46723572909832,1.0,0.0,cuda
7400,S60,paper1_deep_hgrl_ugv_assisted,0.014653373509645462,0.008785183667100682,0.014739837381057441,0.07647375314300803,1.18467378616333,1.384837195277214,1.0,0.0,cuda
7500,S30,paper1_deep_hgrl_ugv_assisted,0.011998327448964119,0.005528386216608894,0.015608800160407554,0.055401938922702065,1.0694422498345375,1.2603446245193481,1.0,0.0,cuda
7600,S22,paper1_deep_hgrl_ugv_assisted,0.008421169593930244,0.004318155516537914,0.010204077239905018,0.048882121516131916,1.2042591571807861,1.3084384053945541,1.0,0.0,cuda
7700,S8,paper1_deep_hgrl_ugv_assisted,0.004139609634876251,0.003238891396902588,0.00322353333490355,0.054987179891347805,1.368886485695839,1.5015903413295746,1.0,0.0,cuda
7800,S64,paper1_deep_hgrl_ugv_assisted,0.007038319483399391,8.679870262540135e-07,0.01563973693993148,4.297270218311944e-05,1.2121527343988419,1.439414143562317,1.0,0.0,cuda
7900,S26,paper1_deep_hgrl_ugv_assisted,0.003518730401992798,6.313731317320048e-06,0.0078107158915372565,0.000240523442179052,1.2664661705493927,1.46210016310215,1.0,0.0,cuda
8000,S4,paper1_deep_hgrl_ugv_assisted,0.06181975454092026,0.056416945277305786,0.017270094877403608,0.23687303695117445,1.2874466478824615,1.433174416422844,1.0,0.0,cuda
8100,S6,paper1_deep_hgrl_ugv_assisted,0.008282298222184181,0.005546774191316217,0.0078076534264255315,0.07779194458360332,1.240106776356697,1.397838369011879,1.0,0.0,cuda
8200,S42,paper1_deep_hgrl_ugv_assisted,0.03232504427433014,0.025631949497579853,0.017319969174423022,0.11008899898192405,1.401721328496933,1.543182522058487,1.0,0.0,cuda
8300,S25,paper1_deep_hgrl_ugv_assisted,0.008208811283111572,0.0,0.018241803418277414,5.1955324771581325e-09,1.2425906956195831,1.4500455558300018,1.0,0.0,cuda
8400,S24,paper1_deep_hgrl_ugv_assisted,0.0042603760957717896,0.00021928648129687645,0.009098099719267339,0.00530553144343166,1.1856894046068192,1.3941348195075989,1.0,0.0,cuda
8500,S13,paper1_deep_hgrl_ugv_assisted,0.02704935148358345,0.02254684665967943,0.012028488254145486,0.09103165376769068,1.373315453529358,1.49118672311306,1.0,0.0,cuda
8600,S83,paper1_deep_hgrl_ugv_assisted,0.010133658535778522,0.0006948682007532625,0.021289680386587406,0.014156567826945736,1.1881427764892578,1.4804472476243973,1.0,0.0,cuda
8700,S92,paper1_deep_hgrl_ugv_assisted,0.008643114008009434,0.0014271186446030981,0.016593531560374686,0.025109392889817173,1.333484634757042,1.5480686873197556,1.0,0.0,cuda
8800,S21,paper1_deep_hgrl_ugv_assisted,0.026073534041643143,0.023082189640717843,0.00904859320507967,0.1080522971602369,1.212193176150322,1.3532671183347702,1.0,0.0,cuda
8900,S46,paper1_deep_hgrl_ugv_assisted,0.00486195832490921,1.0026872587332036e-05,0.010790129981614882,0.00036267515131963073,1.1910727620124817,1.419647216796875,1.0,0.0,cuda
9000,S87,paper1_deep_hgrl_ugv_assisted,0.004082713276147842,0.0,0.009072696269072367,1.1858500904629528e-08,1.1387315765023232,1.3620279431343079,1.0,0.0,cuda
9100,S96,paper1_deep_hgrl_ugv_assisted,0.00887536071240902,0.0069479595294978935,0.005978792809401057,0.07630558721448139,1.1946104615926743,1.4369239956140518,1.0,0.0,cuda
9200,S49,paper1_deep_hgrl_ugv_assisted,0.0021493295207619667,4.805588664780203e-07,0.004775743140271516,2.3539534251615626e-05,1.249408558011055,1.4984077960252762,1.0,0.0,cuda
9300,S14,paper1_deep_hgrl_ugv_assisted,0.00738845719024539,0.0001456243395521195,0.016183412282771314,0.00397028868679099,1.3075557053089142,1.3865178376436234,1.0,0.0,cuda
9400,S91,paper1_deep_hgrl_ugv_assisted,0.007544560823589563,0.007219399798486625,0.002154259089365951,0.06442557538760875,1.265677034854889,1.4819144159555435,1.0,0.0,cuda
9500,S87,paper1_deep_hgrl_ugv_assisted,0.0039544845931231976,0.0,0.008787743524408143,8.432136157396391e-09,1.1387315765023232,1.3620279431343079,1.0,0.0,cuda
9600,S60,paper1_deep_hgrl_ugv_assisted,0.021470200270414352,0.01693562203854526,0.012432118179276586,0.10598761448948613,1.18467378616333,1.384837195277214,1.0,0.0,cuda
9700,S23,paper1_deep_hgrl_ugv_assisted,0.007158246822655201,0.0030485201431247333,0.010226376005050497,0.049214247878968415,1.3599309027194977,1.46723572909832,1.0,0.0,cuda
9800,S35,paper1_deep_hgrl_ugv_assisted,0.0027301418595016003,0.00016546392726013437,0.005800675585291515,0.004562590674505929,1.1098542511463165,1.2982890158891678,1.0,0.0,cuda
9900,S62,paper1_deep_hgrl_ugv_assisted,0.006605625618249178,0.004000134591478854,0.007185929376646527,0.06281768410768279,1.1867095530033112,1.364444077014923,1.0,0.0,cuda
10000,S72,paper1_deep_hgrl_ugv_assisted,0.005812439601868391,0.0013335468247532845,0.01043520555322175,0.021694959928282603,1.328182116150856,1.5707214325666428,1.0,0.0,cuda
10100,S47,paper1_deep_hgrl_ugv_assisted,0.009554749354720116,0.00020078745728824288,0.020894172186672222,0.004841501367105089,1.2245245724916458,1.4729937613010406,1.0,0.0,cuda
